SUBJECT,CONFIGURATION,SEED,ALGORITHM,PROBE_ENABLED,COVERAGE,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_LINES,TOTAL_LINES,LINE_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,SEARCH_TIME,ITERATIONS,ID
Fomp.sol,,646,DynaMOSA,true,0.6507936507936508,8,24,0.3333333333333333,64,92,0.6956521739130435,19,19,1,15,20,0.75,901.7730000019073,20,123
FairStockEquity.sol,,132,DynaMOSA,true,0.5125,1,6,0.16666666666666666,51,120,0.425,25,28,0.8928571428571429,25,48,0.5208333333333334,919.1930000782013,11,123
KPLAY.sol,,990,DynaMOSA,true,0.6346153846153846,2,12,0.16666666666666666,82,124,0.6612903225806451,39,46,0.8478260869565217,37,50,0.74,852.970999956131,14,123
LIBERAPAY.sol,,751,DynaMOSA,true,0.5803571428571429,5,28,0.17857142857142858,87,141,0.6170212765957447,34,39,0.8717948717948718,39,50,0.78,874.9379999637604,12,129
DJCoin.sol,,384,DynaMOSA,true,0.7017543859649122,3,6,0.5,69,91,0.7582417582417582,22,25,0.88,18,28,0.6428571428571429,922.5250000953674,14,129
DmmControllerV2.sol,,946,DynaMOSA,true,0.21256038647342995,1,14,0.07142857142857142,68,258,0.26356589147286824,33,111,0.2972972972972973,19,102,0.18627450980392157,893.239000082016,4,129
SALESCONTRACT.sol,,576,DynaMOSA,true,0.25,0,8,0,13,57,0.22807017543859648,7,8,0.875,2,24,0.08333333333333333,881.0169999599457,14,129
RainbowRAK.sol,,83,DynaMOSA,true,0.5425531914893617,6,14,0.42857142857142855,60,115,0.5217391304347826,30,42,0.7142857142857143,18,40,0.45,846.010999917984,13,129
StakingDextoken.sol,,655,DynaMOSA,true,0.6705882352941176,4,10,0.4,53,93,0.5698924731182796,25,27,0.9259259259259259,37,50,0.74,879.4319999217987,13,129
SLTDStaking.sol,,331,DynaMOSA,true,0.4666666666666667,4,12,0.3333333333333333,47,100,0.47,29,47,0.6170212765957447,16,34,0.47058823529411764,850.4020001888275,13,129
ZAD.sol,,806,DynaMOSA,false,0.6451612903225806,0,2,0,36,66,0.5454545454545454,20,29,0.6896551724137931,13,22,0.5909090909090909,867.8499999046326,17,70
SLTDETHlpReward.sol,,89,DynaMOSA,false,0.7017543859649122,7,14,0.5,67,105,0.638095238095238,37,47,0.7872340425531915,19,34,0.5588235294117647,855.4079999923706,13,70
EqFinanceStaking.sol,,149,DynaMOSA,false,0.3877551020408163,4,20,0.2,24,88,0.2727272727272727,16,30,0.5333333333333333,7,22,0.3181818181818182,942.1419999599457,20,70
FrogDAOGovernanceRewards.sol,,329,DynaMOSA,false,0.6521739130434783,5,10,0.5,30,56,0.5357142857142857,13,16,0.8125,8,16,0.5,898.5640001296997,15,70
Vat.sol,,439,DynaMOSA,false,0.7142857142857143,4,8,0.5,62,98,0.6326530612244898,27,29,0.9310344827586207,35,62,0.5645161290322581,865.9159998893738,17,70
WOLF.sol,,589,DynaMOSA,false,0.43333333333333335,6,22,0.2727272727272727,28,39,0.717948717948718,7,8,0.875,9,12,0.75,878.829999923706,15,70
YRX3.sol,,483,DynaMOSA,false,0.6721311475409836,7,18,0.3888888888888889,65,108,0.6018518518518519,35,48,0.7291666666666666,18,34,0.5294117647058824,888.1600000858307,12,70
PRDZstakingV2.sol,,187,DynaMOSA,false,0.46875,5,26,0.19230769230769232,53,136,0.3897058823529412,26,39,0.6666666666666666,7,18,0.3888888888888889,851.7739999294281,13,70
BAE.sol,,826,DynaMOSA,false,0.35714285714285715,0,6,0,9,50,0.18,5,8,0.625,12,36,0.3333333333333333,870.8780000209808,8,94
GUMARewards.sol,,61,DynaMOSA,false,0.5660377358490566,4,12,0.3333333333333333,51,91,0.5604395604395604,30,44,0.6818181818181818,14,30,0.4666666666666667,868.095999956131,14,94
Voting.sol,,196,DynaMOSA,false,0.09302325581395349,0,30,0,15,250,0.06,13,111,0.11711711711711711,5,94,0.05319148936170213,863.0679998397827,7,94
Dipex.sol,,367,DynaMOSA,false,0.43333333333333335,6,22,0.2727272727272727,28,39,0.717948717948718,7,8,0.875,9,12,0.75,874.9690001010895,14,94
CryptoSecureBankToken.sol,,694,DynaMOSA,false,0.6727272727272727,12,26,0.46153846153846156,75,104,0.7211538461538461,32,33,0.9696969696969697,21,26,0.8076923076923077,868.9480001926422,11,94
BTCParamV2.sol,,621,DynaMOSA,false,0.19230769230769232,0,12,0,16,56,0.2857142857142857,5,16,0.3125,6,14,0.42857142857142855,900.3890001773834,21,94
CryptoGhost.sol,,685,DynaMOSA,false,0.38,35,40,0.875,62,77,0.8051948051948052,10,10,1,5,12,0.4166666666666667,790.683000087738,2,94
YieldFarmLP2.sol,,763,DynaMOSA,false,0.35294117647058826,1,20,0.05,18,54,0.3333333333333333,11,14,0.7857142857142857,0,8,0,886.2330000400543,12,94
Controller.sol,,650,DynaMOSA,false,0.7037037037037037,0,8,0,38,70,0.5428571428571428,19,19,1,32,34,0.9411764705882353,863.9619998931885,15,94
SSTRewards.sol,,754,DynaMOSA,true,0.7307692307692307,3,8,0.375,23,40,0.575,13,14,0.9285714285714286,6,6,1,855.061999797821,15,108
AntiBaseProtocol.sol,,211,DynaMOSA,true,0.7162162162162162,3,8,0.375,82,98,0.8367346938775511,37,42,0.8809523809523809,24,26,0.9230769230769231,898.5879998207092,15,108
Dynamic.sol,,495,DynaMOSA,true,0.75,1,2,0.5,3,4,0.75,2,2,1,0,0,0,904.4010000228882,18,108
HTDD_contract.sol,,586,DynaMOSA,true,0.7142857142857143,0,0,0,20,26,0.7692307692307693,5,5,1,13,16,0.8125,866.6370000839233,18,108
NasiLiquidityPoolFactory.sol,,775,DynaMOSA,true,0.0502092050209205,0,50,0,22,320,0.06875,9,106,0.08490566037735849,6,88,0.06818181818181818,766.2720000743866,5,108
Cover_ZapIn_General_V1.sol,,731,DynaMOSA,true,0.26262626262626265,2,16,0.125,39,129,0.3023255813953488,22,42,0.5238095238095238,13,44,0.29545454545454547,868.7909998893738,9,108
FrogDAO.sol,,802,DynaMOSA,true,0.8421052631578947,0,0,0,22,25,0.88,10,10,1,4,4,1,910.7509999275208,14,108
