SUBJECT,CONFIGURATION,SEED,ALGORITHM,PROBE_ENABLED,COVERAGE,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_LINES,TOTAL_LINES,LINE_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,SEARCH_TIME,ITERATIONS,ID
Cover_ZapIn_General_V1.sol,,472,Random,false,0.34545454545454546,2,16,0.125,39,129,0.3023255813953488,22,42,0.5238095238095238,13,44,0.29545454545454547,1807.5540001392365,199,137
BTCParamV2.sol,,625,DynaMOSA,true,0.25,0,12,0,16,56,0.2857142857142857,5,16,0.3125,6,14,0.42857142857142855,1738.1960000991821,36,6
BAE.sol,,153,DynaMOSA,true,0.28,0,6,0,9,50,0.18,5,8,0.625,12,36,0.3333333333333333,1745.3389999866486,15,6
Controller.sol,,568,DynaMOSA,true,0.5573770491803278,0,8,0,38,70,0.5428571428571428,19,19,1,32,34,0.9411764705882353,1779.9530000686646,30,6
AavePoolReward.sol,,630,DynaMOSA,true,0.7407407407407407,5,10,0.5,27,44,0.6136363636363636,11,12,0.9166666666666666,6,6,1,1777.8320000171661,26,30
BACMARSLPTOKENPool.sol,,323,DynaMOSA,true,0.52,6,12,0.5,52,94,0.5531914893617021,25,36,0.6944444444444444,17,30,0.5666666666666667,1767.739000082016,26,30
Cryptoz.sol,,430,DynaMOSA,true,0.36,2,18,0.1111111111111111,46,155,0.2967741935483871,22,34,0.6470588235294118,28,74,0.3783783783783784,1661.5830001831055,10,30
AntiBaseProtocol.sol,,326,Random,false,0.7708333333333334,3,8,0.375,85,98,0.8673469387755102,39,42,0.9285714285714286,24,26,0.9230769230769231,1805.25200009346,323,47
Dynamic.sol,,111,Random,false,0.75,1,2,0.5,3,4,0.75,2,2,1,0,0,0,1801.7909998893738,436,47
Cover_ZapIn_General_V1.sol,,903,Random,false,0.34545454545454546,2,16,0.125,39,129,0.3023255813953488,22,42,0.5238095238095238,13,44,0.29545454545454547,1800.0080001354218,199,47
Baz.sol,,416,DynaMOSA,true,0.6,6,8,0.75,12,16,0.75,2,2,1,0,0,0,1788.819000005722,29,105
CourtFarming_RoomLPStake.sol,,52,DynaMOSA,true,0.6071428571428571,12,32,0.375,73,108,0.6759259259259259,20,20,1,4,4,1,1726.3320000171661,27,105
ANRXToken.sol,,733,DynaMOSA,true,0.5641025641025641,6,12,0.5,34,44,0.7727272727272727,11,11,1,13,16,0.8125,1813.5169999599457,25,105
