Group.1,Group.2,TOTAL_COVERAGE,FUNCTION_COVERAGE,BRANCH_COVERAGE,LINE_COVERAGE,PROBE_COVERAGE,ITERATIONS,TOTAL_PROBES
Weedburn.sol,DynaMOSA_FALSE,0.7210526315789474,0.9230769230769231,0.2,0.6863636363636364,0.72,26.2,40
WheatFarm.sol,DynaMOSA_FALSE,0.21941747572815534,0.1891891891891892,0.25384615384615383,0.26666666666666666,0.225,42.2,40
WOLF.sol,DynaMOSA_FALSE,0.5285714285714286,0.875,0.2818181818181818,0.717948717948718,0.75,32.8,12
WolfStakingRewards.sol,DynaMOSA_FALSE,0.5108695652173914,0.631578947368421,0.35714285714285715,0.46938775510204084,0.45,25.5,40
XenoFelix.sol,DynaMOSA_FALSE,0.7347517730496453,0.8444444444444444,0.25555555555555554,0.6701986754966888,0.7633333333333333,20.2,60
YieldFarmLP2.sol,DynaMOSA_FALSE,0.30952380952380953,0.8571428571428571,0.05,0.35185185185185186,0,20.2,8
YRX3.sol,DynaMOSA_FALSE,0.6,0.7291666666666666,0.3888888888888889,0.6018518518518519,0.5294117647058824,21.6,34
ZAD.sol,DynaMOSA_FALSE,0.6226415094339622,0.6896551724137931,0,0.5454545454545454,0.5909090909090909,33.8,22
AavePoolReward.sol,DynaMOSA_TRUE,0.7857142857142857,0.9166666666666666,0.5,0.6136363636363636,1,25.8,6
afiController.sol,DynaMOSA_TRUE,0.55,0.6470588235294118,0,0.4215686274509804,0.5892857142857143,60.2,56
ANRXToken.sol,DynaMOSA_TRUE,0.7794871794871795,1,0.5,0.7772727272727272,0.8375,23.8,16
AntiBaseProtocol.sol,DynaMOSA_TRUE,0.8657894736842106,0.9238095238095239,0.375,0.8591836734693877,0.9230769230769231,23,26
BACMARSLPTOKENPool.sol,DynaMOSA_TRUE,0.5846153846153846,0.6777777777777777,0.39999999999999997,0.5340425531914894,0.5466666666666666,26,30
BAE.sol,DynaMOSA_TRUE,0.34,0.625,0,0.18,0.3333333333333333,15.2,36
